team,elo
Duke Blue Devils,1686.1065184899558
Arizona Wildcats,1683.8216829258436
Michigan Wolverines,1683.4728414016552
UConn Huskies,1664.4969924910276
Gonzaga Bulldogs,1664.0987227517971
Florida Gators,1640.6959832501684
Houston Cougars,1633.3470675006595
Michigan State Spartans,1629.3849991173563
Iowa State Cyclones,1627.1156829047573
Texas Tech Red Raiders,1622.947792419989
North Carolina Tar Heels,1616.337665686074
Virginia Cavaliers,1610.478323307045
Purdue Boilermakers,1609.2328287137564
Illinois Fighting Illini,1605.0545022743659
Kansas Jayhawks,1600.5294362608522
St. John's Red Storm,1596.3667316819135
Arkansas Razorbacks,1595.4670010231769
Miami (OH) RedHawks,1594.978116869287
Nebraska Cornhuskers,1591.5493673681096
Alabama Crimson Tide,1591.051567628359
Louisville Cardinals,1569.492058588143
BYU Cougars,1569.236829570361
Vanderbilt Commodores,1564.3007710474678
Saint Louis Billikens,1556.5493317052637
Kentucky Wildcats,1549.1202413586848
Tennessee Volunteers,1542.6079285607586
Wisconsin Badgers,1541.6808985212892
UMBC Retrievers,1538.5995439432277
Alabama A&M Bulldogs,1538.46867180283
Portland State Vikings,1536.7277632646376
Hawai'i Rainbow Warriors,1534.7172902176628
Clemson Tigers,1533.7499754194273
Auburn Tigers,1531.7821038335815
Cal Poly Mustangs,1530.4166526394683
Fairleigh Dickinson Knights,1529.140541206014
Charleston Southern Buccaneers,1528.6035598772455
Illinois State Redbirds,1528.5983548271363
UCLA Bruins,1528.349200583787
South Florida Bulls,1528.1167103632704
Robert Morris Colonials,1527.7650254354587
Cal State Fullerton Titans,1527.673145676035
Austin Peay Governors,1527.1191415747246
UC Irvine Anteaters,1526.0884645921624
Georgia Bulldogs,1525.9186135090883
UCF Knights,1524.1550952733403
Texas Longhorns,1521.986056995439
Belmont Bruins,1520.5429637951072
Marshall Thundering Herd,1520.4919208591523
Louisiana Tech Bulldogs,1520.2714307720112
High Point Panthers,1519.77126661974
North Dakota State Bison,1519.7445249130064
Samford Bulldogs,1519.6730146274185
Arkansas State Red Wolves,1519.434634913664
Murray State Racers,1519.1862880120968
UNC Wilmington Seahawks,1519.1708002948699
Southern Illinois Salukis,1519.1698125114651
Little Rock Trojans,1519.1484649500592
Liberty Flames,1519.1311388744261
Northern Kentucky Norse,1519.1163500708437
Stephen F. Austin Lumberjacks,1518.8478009478451
Hampton Pirates,1518.5963922209512
Youngstown State Penguins,1518.444788717851
Northern Iowa Panthers,1518.3401015911786
Florida A&M Rattlers,1518.017641275916
Wright State Raiders,1517.0274506624116
Stanford Cardinal,1516.6692987439867
New Orleans Privateers,1513.1563335976002
McNeese Cowboys,1512.8482247263883
Towson Tigers,1512.4491565675364
Rhode Island Rams,1511.7961853600593
Merrimack Warriors,1511.7281439117623
Hofstra Pride,1511.141773125845
Denver Pioneers,1510.8732882973668
Siena Saints,1510.5749287796307
Tulane Green Wave,1510.5461498753689
Harvard Crimson,1510.5157512376018
Central Connecticut Blue Devils,1510.377442300952
Quinnipiac Bobcats,1510.2719803188015
Sacred Heart Pioneers,1510.0306592971936
Grand Canyon Lopes,1510.0082819270542
UTEP Miners,1510.0
Coastal Carolina Chanticleers,1510.0
New Mexico Lobos,1510.0
American University Eagles,1509.987679364543
UC San Diego Tritons,1509.774608055997
UAlbany Great Danes,1509.7580107416331
Georgia State Panthers,1509.74880134032
UNC Greensboro Spartans,1509.7425992805606
George Mason Patriots,1509.7206759050825
Charleston Cougars,1509.5098620186805
App State Mountaineers,1509.439079039431
SIU Edwardsville Cougars,1509.3635075506388
Iona Gaels,1509.3044286420175
Montana Grizzlies,1509.2837051122108
Missouri State Bears,1509.1613571284688
Southeast Missouri State Redhawks,1509.0556842672856
Cal State Northridge Matadors,1508.9268779733286
South Alabama Jaguars,1508.8871126447368
Morehead State Eagles,1508.8228736333222
Utah Valley Wolverines,1508.693597586803
Prairie View A&M Panthers,1508.6484373758478
Colorado State Rams,1508.589136001267
UT Arlington Mavericks,1508.555162935295
North Texas Mean Green,1508.4479405139143
Montana State Bobcats,1508.4053324031333
Vermont Catamounts,1508.3500474563598
Mount St. Mary's Mountaineers,1508.347830634764
Portland Pilots,1508.3111991891124
