team,elo,net_rank,games_played,elo_prior,w,elo_final
Michigan Wolverines,1683.4728414016552,2.0,29,1649.1758241758241,0.7435897435897436,1674.6787344206728
Gonzaga Bulldogs,1679.1712142169724,4.0,30,1647.5274725274726,0.75,1671.2602787945975
Duke Blue Devils,1677.7883075828236,1.0,28,1650.0,0.7368421052631579,1670.475595061028
Arizona Wildcats,1675.729538044599,3.0,28,1648.3516483516482,0.7368421052631579,1668.5248302306645
UConn Huskies,1659.1690862670714,9.0,29,1643.4065934065934,0.7435897435897436,1655.1274214310515
Iowa State Cyclones,1637.8523602780017,8.0,28,1644.2307692307693,0.7368421052631579,1639.5308889497828
Florida Gators,1631.464871925517,6.0,28,1645.8791208791208,0.7368421052631579,1635.25809533436
Michigan State Spartans,1629.3849991173563,11.0,28,1641.7582417582416,0.7368421052631579,1632.6411156017998
Houston Cougars,1627.534104164851,10.0,28,1642.5824175824175,0.7368421052631579,1631.494186643158
Virginia Cavaliers,1618.7965342141772,13.0,19,1640.10989010989,0.6551724137931034,1626.1459672816643
Texas Tech Red Raiders,1612.211115046745,15.0,28,1638.4615384615386,0.7368421052631579,1619.1191212085328
Purdue Boilermakers,1609.2328287137564,7.0,28,1645.0549450549452,0.7368421052631579,1618.6597014351219
Kansas Jayhawks,1608.6215811420968,14.0,26,1639.2857142857142,0.7222222222222222,1617.1393959042127
Illinois Fighting Illini,1605.054502274366,5.0,29,1646.7032967032967,0.7435897435897436,1615.733680333066
North Carolina Tar Heels,1609.1854546351612,26.0,28,1629.3956043956043,0.7368421052631579,1614.5039150984358
Kentucky Christian Knights,1490.0,29.0,1,1626.923076923077,0.09090909090909091,1614.4755244755245
Arkansas Razorbacks,1604.6981123478283,18.0,28,1635.989010989011,0.7368421052631579,1612.932559358666
Saint Mary's Gaels,1484.9481496434598,22.0,2,1632.6923076923076,0.16666666666666666,1608.068281350833
Florida Atlantic Owls,1471.1556623227286,6.0,3,1645.8791208791208,0.23076923076923078,1605.5583227507227
Florida Gulf Coast Eagles,1470.6059658182028,6.0,3,1645.8791208791208,0.23076923076923078,1605.4314697112168
Florida International Panthers,1470.605224435723,6.0,3,1645.8791208791208,0.23076923076923078,1605.431298622952
New Mexico Lobos,1510.0,45.0,1,1613.7362637362637,0.09090909090909091,1604.3056943056943
Nebraska Cornhuskers,1583.8761434579235,12.0,19,1640.934065934066,0.6551724137931034,1603.5512891393519
New Mexico Highlands Cowboys,1490.0,45.0,1,1613.7362637362637,0.09090909090909091,1602.4875124875125
Miami (OH) RedHawks,1594.978116869287,49.0,11,1610.4395604395604,0.5238095238095238,1602.3407090456076
Utah State Aggies,1490.2794617562658,25.0,3,1630.2197802197802,0.23076923076923078,1597.925860574354
Alabama Crimson Tide,1581.9179360953865,19.0,24,1635.164835164835,0.7058823529411765,1597.5787887628715
North Carolina Central Eagles,1491.3851435170996,26.0,3,1629.3956043956043,0.23076923076923078,1597.5470365005647
North Carolina A&T Aggies,1490.5358773333292,26.0,3,1629.3956043956043,0.23076923076923078,1597.3510519966176
Louisville Cardinals,1581.1772214457662,16.0,28,1637.6373626373627,0.7368421052631579,1596.0351533382918
Santa Clara Broncos,1487.804356143641,41.0,2,1617.032967032967,0.16666666666666666,1595.4948652180794
BYU Cougars,1581.7330324945844,21.0,28,1633.5164835164835,0.7368421052631579,1595.3602564477158
Vanderbilt Commodores,1575.3708333444176,17.0,23,1636.8131868131868,0.696969696969697,1593.9897283349537
Belmont Bruins,1520.5429637951072,52.0,2,1607.967032967033,0.16666666666666666,1593.3963547717121
Georgia Southern Eagles,1489.713339338894,33.0,3,1623.6263736263736,0.23076923076923078,1592.7233657138784
Arkansas-Pine Bluff Golden Lions,1478.6928231152958,18.0,4,1635.989010989011,0.2857142857142857,1591.0472430250925
Saint Louis Billikens,1547.928258905741,23.0,10,1631.868131868132,0.5,1589.8981953869365
Nevada Wolf Pack,1489.71225631668,63.0,1,1598.901098901099,0.09090909090909091,1588.9748404843338
San Diego State Aztecs,1493.3951314345366,43.0,3,1615.3846153846155,0.23076923076923078,1587.2331960115202
Texas A&M-Corpus Christi Islanders,1490.152711050351,42.0,3,1616.2087912087911,0.23076923076923078,1587.1189265568432
Akron Zips,1501.666346209436,57.0,2,1603.8461538461538,0.16666666666666666,1586.8161859067009
Boise State Broncos,1500.8371279991354,61.0,2,1600.5494505494505,0.16666666666666666,1583.930730124398
